sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2,,,,,
2417,06/09/2024 07:24,63.91,0,21.1,252,0,76,12,190,190,22.1,30,31,37,68,0,374,63.19049939,14.6582457,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19039461,14.65811469,364.3999939,7467.330078,128,4.031000137,57,230,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,173.5323529,186,FFFFFF,1,2.0R,2,,,,all,1020
2417,06/09/2024 07:24,70.68,0,23.9,251,0,76,14,200,190,28.1,31,29,34,63,0,374,63.19053744,14.65835106,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19039461,14.65811469,364.3999939,7467.330078,128,4.031000137,57,230,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,173.5323529,186,FFFFFF,1,2.0R,2,,,,G2R,200
2417,06/09/2024 07:24,78,0,25.5,239,0,74,15,190,180,24.1,25.8,28,32,60,0,374,63.19057642,14.65846891,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19042495,14.65820982,364.3999939,7473.200195,132,4.385000229,44,265,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,2.0R,2,,,,G2L,0
2417,06/09/2024 07:24,84.89,0,23.9,223,0,72,16,180,180,20.2,26.4,26,30,56,0,374,63.19061087,14.65858307,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19046276,14.65830588,364.2000122,7479.540039,136,5.281000137,37,425,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,G3,625
2417,06/09/2024 07:24,91.58,0,24.2,217,0,71,18,180,180,23.6,25.3,26,28,54,0,374,63.19064255,14.65869639,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19049905,14.65840722,364.2000122,7486.060059,140,5.552000046,38,531,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,G4,29
2417,06/09/2024 07:24,98.38,0,23.3,217,0,71,18,180,170,19.5,21.1,25,27,52,0,374,63.19067616,14.65880971,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.1905371,14.65851886,364.2000122,7493.200195,142,6.717999935,38,666,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,G0,166
2417,06/09/2024 07:24,106.41,0,24.7,217,0,70,20,190,190,19.8,24.4,25,27,52,0,374,63.19072545,14.65892673,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19057591,14.65863369,364.2000122,7500.049805,144,7.203000069,38,713,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,115.62,0,25.9,214,0,71,21,170,160,21,20.2,24,28,52,0,376,63.19078219,14.65906033,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19061279,14.65874853,364.3999939,7507.410156,149,7.203000069,38,721,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,122.19,0,25.7,214,0,70,22,160,170,19.6,28,23,29,52,0,377,63.19082117,14.65915907,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19064951,14.65885397,364.3999939,7514.22998,151,7.138000011,37,713,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,128.16,0,25.7,214,0,72,24,150,170,17.2,24.4,21,29,50,0,377,63.19084673,14.65926343,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19068437,14.65895598,364.3999939,7520.580078,156,6.988999844,36,665,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,134.9,0,23.1,213,0,71,24,160,180,17.7,23.5,21,29,50,0,376,63.19089334,14.65934968,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19072,14.65906712,364.6000061,7527.25,159,6.829999924,36,607,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,141.85,0,23.9,213,0,71,26,160,170,15.7,24.3,21,30,51,0,376,63.19094396,14.65943081,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19075847,14.65918522,364.6000061,7534.25,161,6.829999924,36,591,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,147.83,0,23.6,209,0,75,27,160,180,18,23.3,23,31,54,0,375,63.19098579,14.65950558,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19079971,14.65929125,364.6000061,7541.379883,164,6.867000103,36,595,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,154.67,0,23.8,209,0,70,28,190,200,23.6,32.6,24,30,54,0,375,63.19103499,14.65958781,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19084648,14.65937859,364.6000061,7548.149902,165,6.867000103,36,592,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,161.27,0,24.1,209,0,72,29,170,170,18.4,21.9,24,28,52,0,374,63.19108159,14.65966911,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19089241,14.65946602,364.6000061,7555.040039,167,6.420000076,36,560,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,167.82,0,24.2,197,0,68,30,170,190,17.7,25.3,23,26,49,0,374,63.19112711,14.65975209,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19093709,14.65954296,364.7999878,7561.529785,169,6.420000076,36,563,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,173.64,0,22.9,175,0,65,32,170,190,22.8,22.1,22,24,46,0,374,63.1911686,14.65982258,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19098503,14.65962645,365,7567.970215,170,6.28000021,36,563,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,180.21,0,21.8,175,0,65,32,180,170,18.1,18.1,21,24,45,0,374,63.19121445,14.65990548,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19103482,14.65971085,365.2000122,7575.240234,170,6.28000021,35,537,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,185.88,0,22.9,175,0,67,34,180,190,18.7,23.5,21,24,45,0,374,63.19124814,14.65999031,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19108285,14.65977933,365.2000122,7581.459961,171,6.456999779,35,542,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,193.24,0,23.5,180,0,69,35,170,170,16.5,20.3,21,25,46,0,372,63.19129039,14.66010329,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19112811,14.65985812,365.2000122,7587.899902,171,6.456999779,35,540,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,200.75,0,23.5,180,0,66,36,190,190,18.6,22,21,25,46,0,372,63.19133833,14.66020882,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19117312,14.659938,365.2000122,7594.149902,172,6.381999969,35,541,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,206.69,0,23.5,184,0,68,37,190,180,19.6,20.4,21,26,47,0,372,63.19137219,14.66030052,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19121797,14.66002735,365.2000122,7600.779785,172,6.111999989,35,512,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,213.18,0,23.2,188,0,70,38,180,170,18.9,19.7,22,27,49,0,372,63.19141477,14.66038878,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19125912,14.66010933,365.2000122,7607.189941,171,6.092999935,35,512,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,220.01,0,22.6,188,0,70,40,170,180,17.7,24.4,22,28,50,0,372,63.19145677,14.66048827,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19129935,14.66020253,365.2000122,7613.819824,172,6.092999935,35,504,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,226.5,0,22.6,190,0,70,40,170,180,18.8,23.7,22,28,50,0,372,63.19150044,14.66057436,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19133322,14.66029767,365,7619.379883,172,6.130000114,35,503,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,232.18,0,22.6,196,0,69,42,190,180,21.8,25.8,23,29,52,0,372,63.1915338,14.66065994,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19137228,14.66039515,365,7625.819824,173,6.177000046,35,511,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,238.34,0,22.8,198,0,71,43,170,180,18.8,23.7,23,29,52,0,373,63.19156867,14.66075549,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19141134,14.66049825,365,7632.859863,173,6.177000046,34,510,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,245.02,0,23.2,201,0,68,44,190,190,16.4,24.8,23,29,52,0,374,63.19161108,14.6608497,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19145149,14.66059162,365.2000122,7639.330078,172,6.139999866,34,506,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,252.15,0,25.3,201,0,66,45,190,200,24.8,24.9,23,30,53,0,375,63.19166271,14.66093402,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19149214,14.66068894,365.2000122,7646.259766,173,6.139999866,34,504,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,258.48,0,25.3,201,0,67,46,190,200,21.4,28.9,22,31,53,0,375,63.19170437,14.66102011,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19153145,14.66078441,365.2000122,7652.839844,172,6.177000046,34,506,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,264.95,0,23.2,197,0,71,48,170,170,16.1,21.8,21,30,51,0,375,63.19175516,14.66108289,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19156984,14.66088289,365.3999939,7659.430176,172,6.289000034,35,525,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,270.74,0,22.1,197,0,70,48,150,210,15.2,29,22,30,52,0,374,63.19179925,14.66114433,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.1916141,14.66096353,365.6000061,7665.779785,173,6.34499979,35,537,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
2417,06/09/2024 07:24,276.27,0,21.9,197,0,69,50,190,180,22.4,24.6,23,29,52,0,374,63.19184351,14.66119495,,Running,2024-09-06T06:48:24.000Z,2024-09-06T07:14:16.000Z,693.258,1000,7.203000069,46,123,177,Active,Manual,06/09/2024 07:24,63.19166061,14.66103519,365.6000061,7671.97998,173,6.373000145,35,545,1.442000031,12,109,101,721,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3,,,,,
