sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2161,13/06/2024 07:20,93.66,0,24.7,342,0,74,11,190,150,25.7,31.7,35,44,79,0,363,63.19043619,14.65805015,,Running,2024-06-13T06:43:40.000Z,2024-06-13T07:10:50.000Z,616.61,1000,11.28999996,36,106,172,Active,Manual,13/06/2024 07:20,63.19043728,14.65813816,363.6000061,6845.5,116,5.243999958,34,447,1.621999979,7,74,51,1477,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,176.0520833,186,FFFFFF,1,2.0R,2
2161,13/06/2024 07:20,101.55,0,27.4,325,0,74,12,180,150,37.7,38.7,34,42,76,0,363,63.1904786,14.65817638,,Running,2024-06-13T06:43:40.000Z,2024-06-13T07:10:50.000Z,616.61,1000,11.28999996,36,106,172,Active,Manual,13/06/2024 07:20,63.19043728,14.65813816,363.6000061,6845.5,116,5.243999958,34,447,1.621999979,7,74,51,1477,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,176.0520833,186,FFFFFF,1,2.0R,2
2161,13/06/2024 07:20,109.55,0,27.1,311,0,75,14,150,130,24.3,27.7,30,39,69,0,363,63.19052109,14.65830487,,Running,2024-06-13T06:43:40.000Z,2024-06-13T07:10:50.000Z,616.61,1000,11.28999996,36,106,172,Active,Manual,13/06/2024 07:20,63.19047868,14.65825953,363.3999939,6853.160156,116,6.531000137,34,564,1.621999979,7,74,51,1477,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2161,13/06/2024 07:20,117.2,0,27.1,275,0,72,15,140,120,16.9,24.9,24,37,61,0,363,63.19055806,14.65843379,,Running,2024-06-13T06:43:40.000Z,2024-06-13T07:10:50.000Z,616.61,1000,11.28999996,36,106,172,Active,Manual,13/06/2024 07:20,63.1905159,14.6583933,363.2000122,6860.910156,116,6.531000137,36,642,1.621999979,7,74,51,1477,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2161,13/06/2024 07:20,127.81,0,27.1,261,0,76,16,130,130,15.7,37.3,20,33,53,0,363,63.19060609,14.65861643,,Running,2024-06-13T06:43:40.000Z,2024-06-13T07:10:50.000Z,616.61,1000,11.28999996,36,106,172,Active,Manual,13/06/2024 07:20,63.19056066,14.65852875,363,6869.27002,118,7.017000198,36,731,1.621999979,7,74,51,1477,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2161,13/06/2024 07:20,142.19,0,30.5,261,0,45,18,120,130,14.6,25.5,20,28,48,0,363,63.1906832,14.65884676,,Running,2024-06-13T06:43:40.000Z,2024-06-13T07:10:50.000Z,616.61,1000,11.28999996,36,106,172,Active,Manual,13/06/2024 07:20,63.19060022,14.65864182,362.7999878,6876.939941,123,7.473999977,36,785,1.621999979,7,74,51,1477,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2161,13/06/2024 07:20,152.33,0,29.6,261,0,55,18,120,120,14.6,21.3,26,27,53,0,363,63.19073752,14.65900904,,Running,2024-06-13T06:43:40.000Z,2024-06-13T07:10:50.000Z,616.61,1000,11.28999996,36,106,172,Active,Manual,13/06/2024 07:20,63.19064079,14.65876889,362.3999939,6884.779785,129,7.71600008,36,803,1.621999979,7,74,51,1477,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2161,13/06/2024 07:20,159.28,0,27.9,298,0,64,19,140,120,38.3,33.2,35,29,64,0,363,63.19076149,14.65913711,,Running,2024-06-13T06:43:40.000Z,2024-06-13T07:10:50.000Z,616.61,1000,11.28999996,36,106,172,Active,Manual,13/06/2024 07:20,63.19068018,14.65890569,362.3999939,6892.450195,135,7.995999813,36,829,1.621999979,7,74,51,1477,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2161,13/06/2024 07:20,168.38,0,30.6,298,0,63,20,160,140,21.7,29.5,40,30,70,0,363,63.19080424,14.65929184,,Running,2024-06-13T06:43:40.000Z,2024-06-13T07:10:50.000Z,616.61,1000,11.28999996,36,106,172,Active,Manual,13/06/2024 07:20,63.19072042,14.65905958,362.6000061,6901.810059,139,7.995999813,36,820,1.621999979,7,74,51,1477,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2161,13/06/2024 07:20,175.34,0,28.6,298,0,68,21,130,130,68.4,25.7,37,29,66,0,363,63.19084053,14.65940483,,Running,2024-06-13T06:43:40.000Z,2024-06-13T07:10:50.000Z,616.61,1000,11.28999996,36,106,172,Active,Manual,13/06/2024 07:20,63.19075746,14.65920031,362.6000061,6910.140137,144,8.13599968,36,839,1.621999979,7,74,51,1477,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
