sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2160,12/06/2024 08:27,121.91,0,29.2,413,0,75,15,200,210,27.6,36.4,35,50,85,0,367,63.19087523,14.65943417,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364,19119.58008,121,4.375999928,29,183,63.19036251,14.65834284,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,170.3040201,178,FFFFFF,1,2.0L,2
2160,12/06/2024 08:27,130.61,0,27.6,363,0,69,16,160,220,26.4,43.3,33,46,79,0,367,63.19093684,14.65954129,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364,19119.58008,121,4.375999928,29,183,63.19036251,14.65834284,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,170.3040201,178,FFFFFF,1,2.0L,2
2160,12/06/2024 08:27,138.56,0,27.3,341,0,71,18,190,210,20.7,36.7,31,44,75,0,367,63.19098981,14.65964774,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,363.7999878,19126.80078,121,5.59800005,37,349,63.19040266,14.65845868,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,2.0L,2
2160,12/06/2024 08:27,146.72,0,27.6,331,0,71,19,190,210,32.2,42.4,30,42,72,0,366,63.19105217,14.65973357,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,363.7999878,19134.31055,120,6.745999813,38,492,63.19043744,14.65855809,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,154,0,26,306,0,69,20,180,180,22.1,32.9,28,41,69,0,367,63.19110171,14.6598282,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,363.7999878,19140.83008,120,6.933000088,35,634,63.19047835,14.65868558,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,162.29,0,27.8,299,0,69,21,190,180,21.5,28.4,26,40,66,0,366,63.19116524,14.65991495,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364,19148.74023,120,6.933000088,36,742,63.19051682,14.65881407,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,170.49,0,27.1,294,0,75,22,180,180,21.1,39.4,25,40,65,0,364,63.19121897,14.66002685,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.2000122,19156.5,124,7.222000122,35,769,63.19055362,14.65894525,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,177.07,0,25.9,284,0,70,24,160,180,14.9,30.7,24,39,63,0,363,63.19125091,14.66013741,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.2000122,19164.05078,127,7.454999924,35,781,63.19058631,14.65907911,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,185.17,0,28,271,0,69,24,180,180,25.4,30.3,24,37,61,0,364,63.19130405,14.6602478,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.2000122,19171.73047,132,7.605000019,35,795,63.19062377,14.65919905,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,191.75,0,26.1,253,0,69,26,150,160,18.5,33.5,23,35,58,0,364,63.19134185,14.6603488,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.3999939,19179.5,135,7.71600008,34,797,63.19066971,14.65929754,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
