sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-20NR,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2466,18/09/2024 08:08,86.93,0,28,308,0,74,12,200,220,30.6,40.8,38,31,69,0,350,63.19051104,14.65847402,,Running,2024-09-18T07:30:35.000Z,2024-09-18T07:57:07.000Z,678.914,1000,7.493000031,42,109,146,Active,Manual,18/09/2024 08:08,362.3999939,5954.029785,111,3.638999939,47,196,63.19036896,14.65793355,1.47300005,12,113,92,704,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,169.6086957,178,FFFFFF,1,2.0R,2
2466,18/09/2024 08:08,93.45,0,28.2,300,0,75,14,190,160,32.2,23.5,36,28,64,0,351,63.19051657,14.65858391,,Running,2024-09-18T07:30:35.000Z,2024-09-18T07:57:07.000Z,678.914,1000,7.493000031,42,109,146,Active,Manual,18/09/2024 08:08,362.3999939,5954.029785,111,3.638999939,47,196,63.19036896,14.65793355,1.47300005,12,113,92,704,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,169.6086957,178,FFFFFF,1,2.0R,2
2466,18/09/2024 08:08,106.23,0,28.2,282,0,75,15,190,160,28.8,20.5,34,26,60,0,352,63.19054792,14.65882522,,Running,2024-09-18T07:30:35.000Z,2024-09-18T07:57:07.000Z,678.914,1000,7.493000031,42,109,146,Active,Manual,18/09/2024 08:08,362.3999939,5961.100098,113,4.422999859,42,369,63.19040484,14.65805266,1.47300005,12,113,92,704,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,2.0R,2
2466,18/09/2024 08:08,115.92,0,28.2,276,0,74,16,180,180,27.4,29,32,26,58,0,352,63.1905625,14.65897618,,Running,2024-09-18T07:30:35.000Z,2024-09-18T07:57:07.000Z,678.914,1000,7.493000031,42,109,146,Active,Manual,18/09/2024 08:08,362.2000122,5967.950195,116,5.513999939,38,537,63.19043929,14.65816515,1.47300005,12,113,92,704,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,128.23,0,29.1,272,0,70,18,200,170,30.4,23.2,31,26,57,0,353,63.19067306,14.65898104,,Running,2024-09-18T07:30:35.000Z,2024-09-18T07:57:07.000Z,678.914,1000,7.493000031,42,109,146,Active,Manual,18/09/2024 08:08,362,5975.189941,119,6.326000214,37,602,63.19047667,14.65827093,1.47300005,12,113,92,704,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,136.45,0,28.8,268,0,74,18,170,190,20.9,32.4,29,27,56,0,353,63.1907205,14.65910191,,Running,2024-09-18T07:30:35.000Z,2024-09-18T07:57:07.000Z,678.914,1000,7.493000031,42,109,146,Active,Manual,18/09/2024 08:08,362,5982.100098,121,6.447999954,37,620,63.19051766,14.65838039,1.47300005,12,113,92,704,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,144.26,0,27.8,254,0,73,20,180,180,24.7,24.8,28,27,55,0,355,63.19076987,14.65921255,,Running,2024-09-18T07:30:35.000Z,2024-09-18T07:57:07.000Z,678.914,1000,7.493000031,42,109,146,Active,Manual,18/09/2024 08:08,362,5989.839844,124,6.96999979,37,668,63.19055932,14.6585083,1.47300005,12,113,92,704,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,151.61,0,25.8,254,0,72,21,170,160,19.8,19.9,28,27,55,0,355,63.19081949,14.65930936,,Running,2024-09-18T07:30:35.000Z,2024-09-18T07:57:07.000Z,678.914,1000,7.493000031,42,109,146,Active,Manual,18/09/2024 08:08,362,5998.180176,126,6.988999844,37,664,63.19060357,14.65864065,1.47300005,12,113,92,704,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,158.93,0,26,254,0,72,22,190,180,27.8,31.2,28,27,55,0,355,63.19087029,14.65940248,,Running,2024-09-18T07:30:35.000Z,2024-09-18T07:57:07.000Z,678.914,1000,7.493000031,42,109,146,Active,Manual,18/09/2024 08:08,362,6005.890137,129,7.493000031,37,704,63.1906428,14.65876353,1.47300005,12,113,92,704,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,166.62,0,28.6,238,0,67,24,190,160,26.1,19.9,27,28,55,0,356,63.19091965,14.65950969,,Running,2024-09-18T07:30:35.000Z,2024-09-18T07:57:07.000Z,678.914,1000,7.493000031,42,109,146,Active,Manual,18/09/2024 08:08,361.7999878,6013.140137,132,7.800000191,36,734,63.19067976,14.65887451,1.47300005,12,113,92,704,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
