sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Kolumn1,Unnamed: 40,Unnamed: 41,Unnamed: 42,RowColor,Lap,Gear,Gear2
2107,04/06/2024 13:36,105.65,0,17.9,105,104,72,12,180,170,17.5,16.9,22,17,39,0,364,63.19048614,14.65813447,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.7999878,5490.410156,104,3.246999979,45,346,63.19041657,14.65805375,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.0514139,,,,FFFFFF,1,2.0L,2
2107,04/06/2024 13:36,111.06,0,17.9,107,105,72,13,210,120,24.6,9.9,20,15,35,0,364,63.19051213,14.65822583,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.7999878,5490.410156,104,3.246999979,45,346,63.19041657,14.65805375,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.0514139,,,,FFFFFF,1,2.0L,2
2107,04/06/2024 13:36,116.26,0,18.1,105,106,72,14,180,120,17.2,9.2,19,14,33,0,364,63.19053803,14.65831191,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.6000061,5495.970215,104,4.328999996,44,513,63.19044524,14.65814754,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.2442159,,177.2115813,192,FFFFFF,1,2.0L,2
2107,04/06/2024 13:36,121.68,0,19.5,99,110,70,16,170,120,14.2,9.6,19,14,33,0,364,63.1905656,14.65840101,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.3999939,5501.5,105,4.796000004,41,539,63.19047349,14.65824477,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.437018,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,127.31,0,19.4,94,120,52,16,200,170,22,18.9,17,12,29,0,364,63.19059293,14.65849539,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.2000122,5506.810059,105,5.188000202,38,543,63.19050509,14.65831744,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.6246787,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,133.74,0,18.7,81,124,51,17,120,170,7.4,18.9,15,10,25,0,364,63.19062117,14.65860721,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.2000122,5511.560059,113,5.263000011,37,556,63.19053107,14.6583897,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.8097686,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,138.3,0,18.7,81,128,35,18,180,120,13.6,7.9,14,9,23,0,363,63.19063551,14.65869119,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361,5517.149902,119,5.263000011,38,537,63.19055663,14.65848693,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.9742931,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,142.08,0,18.7,81,137,53,18,180,120,13.6,9.3,15,11,26,0,361,63.19064724,14.65876143,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.2000122,5522.910156,124,5.263000011,38,541,63.19058631,14.65857837,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.1156812,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,146.82,0,18.7,85,142,65,20,160,120,13.4,10.4,16,12,28,0,359,63.19066694,14.65884509,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.2000122,5528.149902,131,5.31799984,37,486,63.19061254,14.6586699,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.2442159,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,152.21,0,19.2,86,147,68,21,160,140,13.3,10.5,15,12,27,0,359,63.19069418,14.65893368,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.2000122,5533.589844,137,5.374000072,37,493,63.1906433,14.65875473,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.3573265,,,,FFFFFF,1,3,3
