sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2163,12/06/2024 07:30,358.34,0,20.6,456,0,0,7,0,910,0,113.6,80,53,133,0,370,63.19243468,14.66210565,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,363.3999939,7338.379883,132,4.506999969,40,250,63.19031607,14.65828786,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,175.3324675,183,FFFFFF,1,2.0L,2
2163,12/06/2024 07:30,365.42,0,25.9,570,0,44,8,930,910,215.7,113.6,108,67,175,0,370,63.19246947,14.66222417,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,363.3999939,7338.379883,132,4.506999969,40,250,63.19031607,14.65828786,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,175.3324675,183,FFFFFF,1,2.0L,2
2163,12/06/2024 07:30,372.29,0,23.8,570,0,73,8,290,360,77.1,51.9,102,66,168,0,370,63.19249352,14.66235015,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,363.3999939,7345.339844,129,5.644999981,48,393,63.19034256,14.65840604,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,2.0L,2
2163,12/06/2024 07:30,378.59,0,24.4,570,0,74,10,300,250,78.9,48.8,79,61,140,0,370,63.19251917,14.66246238,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,363.3999939,7352.930176,128,6,48,433,63.19037475,14.65853093,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,385.66,0,23.9,454,0,70,11,240,250,53.7,52.7,58,56,114,0,370,63.19255228,14.66258249,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,363.3999939,7360.640137,128,6.540999889,40,458,63.19040953,14.65866311,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,391.57,0,19.9,316,0,74,12,200,220,35.5,47.6,45,50,95,0,370,63.19257122,14.6626928,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,363.2000122,7368.560059,128,7.118999958,38,798,63.1904501,14.65879287,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,397.51,0,20.7,289,0,71,14,180,190,29.3,29,39,45,84,0,371,63.19258614,14.66280646,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,363.3999939,7375.930176,128,7.381000042,38,827,63.19049058,14.65891281,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,403.12,0,19.9,253,0,71,14,190,200,27.5,33.7,36,40,76,0,371,63.19259578,14.66291207,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,363.3999939,7383.899902,133,7.454999924,40,995,63.19053635,14.65903074,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,407.86,0,18.9,214,0,71,16,180,220,28.8,42.6,36,32,68,0,372,63.19259578,14.66300645,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,363.3999939,7391.720215,138,7.642000198,40,1018,63.19058262,14.6591475,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,412.36,0,15.6,214,0,46,16,210,230,35.7,37.2,35,27,62,0,372,63.19259578,14.66309572,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,363.2000122,7399.75,144,7.613999844,31,813,63.19063593,14.65925295,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
