sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2167,14/06/2024 08:24,524.83,0,22.3,138,0,32,65,140,130,20.4,19,21,16,37,0,371,63.19048388,14.65823723,,Running,2024-06-14T06:47:00.000Z,2024-06-14T08:14:12.000Z,807.223,1000,7.138000011,60,121,179,Active,Manual,14/06/2024 08:24,63.19044105,14.65825014,363.7999878,17217.58984,105,3.507999897,43,422,1.238999963,12,65,110,719,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,169.464497,181,FFFFFF,1,2.0L,2
2167,14/06/2024 08:24,530.8,0,22.4,138,0,31,66,140,150,20.4,17.3,23,12,35,0,371,63.19051271,14.65833739,,Running,2024-06-14T06:47:00.000Z,2024-06-14T08:14:12.000Z,807.223,1000,7.138000011,60,121,179,Active,Manual,14/06/2024 08:24,63.19044105,14.65825014,363.7999878,17217.58984,105,3.507999897,43,422,1.238999963,12,65,110,719,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,169.464497,181,FFFFFF,1,2.0L,2
2167,14/06/2024 08:24,536.92,0,23.2,150,0,0,66,0,110,0,10.6,28,11,39,0,372,63.19054465,14.65843697,,Running,2024-06-14T06:47:00.000Z,2024-06-14T08:14:12.000Z,807.223,1000,7.138000011,60,121,179,Active,Manual,14/06/2024 08:24,63.19047374,14.65836438,363.6000061,17223.78906,108,4.907999992,41,532,1.238999963,12,65,110,719,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2167,14/06/2024 08:24,543.57,0,23.2,166,0,44,66,130,110,42.8,10.6,31,12,43,0,372,63.19057675,14.65854887,,Running,2024-06-14T06:47:00.000Z,2024-06-14T08:14:12.000Z,807.223,1000,7.138000011,60,121,179,Active,Manual,14/06/2024 08:24,63.19050701,14.65847176,363.3999939,17230.65039,113,5.393000126,37,536,1.238999963,12,65,110,719,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2167,14/06/2024 08:24,550.41,0,24.2,174,0,32,68,120,140,52.9,16.8,30,13,43,0,372,63.19061036,14.6586632,,Running,2024-06-14T06:47:00.000Z,2024-06-14T08:14:12.000Z,807.223,1000,7.138000011,60,121,179,Active,Manual,14/06/2024 08:24,63.19054029,14.6585917,363.3999939,17237.41016,117,5.822000027,35,587,1.238999963,12,65,110,719,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2167,14/06/2024 08:24,558.04,0,25.6,179,0,34,68,120,120,52.9,14.9,28,14,42,0,372,63.1906464,14.65879245,,Running,2024-06-14T06:47:00.000Z,2024-06-14T08:14:12.000Z,807.223,1000,7.138000011,60,121,179,Active,Manual,14/06/2024 08:24,63.19057792,14.65870863,363.2000122,17244.49023,120,6.428999901,39,628,1.238999963,12,65,110,719,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2167,14/06/2024 08:24,564.52,0,25.6,179,0,0,68,0,120,0,14.9,29,15,44,0,367,63.19068521,14.65888909,,Running,2024-06-14T06:47:00.000Z,2024-06-14T08:14:12.000Z,807.223,1000,7.138000011,60,121,179,Active,Manual,14/06/2024 08:24,63.19061237,14.658816,363.3999939,17251.32031,123,6.550000191,40,631,1.238999963,12,65,110,719,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2167,14/06/2024 08:24,570.01,0,24.3,179,0,53,70,170,130,58.3,17.2,31,14,45,0,367,63.19071656,14.6589735,,Running,2024-06-14T06:47:00.000Z,2024-06-14T08:14:12.000Z,807.223,1000,7.138000011,60,121,179,Active,Manual,14/06/2024 08:24,63.19065034,14.65893159,363.3999939,17258.26953,128,7.138000011,42,691,1.238999963,12,65,110,719,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2167,14/06/2024 08:24,576.92,0,24.3,182,0,42,70,120,130,14.6,17.2,31,13,44,0,367,63.19075151,14.65908749,,Running,2024-06-14T06:47:00.000Z,2024-06-14T08:14:12.000Z,807.223,1000,7.138000011,60,121,179,Active,Manual,14/06/2024 08:24,63.19068479,14.65904449,363.6000061,17265.50977,130,7.138000011,42,708,1.238999963,12,65,110,719,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2167,14/06/2024 08:25,583.04,0,21.9,182,0,44,71,150,130,50.6,13.2,34,13,47,0,367,63.19078831,14.6591781,,Running,2024-06-14T06:47:00.000Z,2024-06-14T08:14:12.000Z,807.223,1000,7.138000011,60,121,179,Active,Manual,14/06/2024 08:25,63.19071773,14.65914541,363.7999878,17272,133,7.100999832,42,719,1.238999963,12,65,110,719,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2167,14/06/2024 08:25,589.19,0,23.5,195,0,44,72,150,130,50.6,16.3,38,14,52,0,367,63.19082486,14.65927013,,Running,2024-06-14T06:47:00.000Z,2024-06-14T08:14:12.000Z,807.223,1000,7.138000011,60,121,179,Active,Manual,14/06/2024 08:25,63.19075973,14.65925488,363.7999878,17278.18945,136,7.063000202,42,718,1.238999963,12,65,110,719,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2167,14/06/2024 08:25,595.91,0,23.4,195,0,44,72,180,130,48.7,16.3,40,13,53,0,367,63.19086702,14.65936619,,Running,2024-06-14T06:47:00.000Z,2024-06-14T08:14:12.000Z,807.223,1000,7.138000011,60,121,179,Active,Manual,14/06/2024 08:25,63.19079971,14.65934423,364,17285.25977,144,6.782999992,42,633,1.238999963,12,65,110,719,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
