sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-22WR,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2478,19/09/2024 08:28,49.07,0,20.1,223,0,65,14,270,230,35.5,35,33,35,68,0,369,63.19044566,14.65813179,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:28,363,15672.07031,117,3.434000015,38,330,63.19039118,14.65802399,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,159.9674185,171,FFFFFF,1,2.0R,2
2478,19/09/2024 08:28,54.23,0,19.4,201,0,65,15,240,200,25.6,25.4,30,32,62,0,370,63.19047005,14.65821938,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:28,363,15672.07031,117,3.434000015,38,330,63.19039118,14.65802399,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,159.9674185,171,FFFFFF,1,2.0R,2
2478,19/09/2024 08:28,59.85,0,19.7,190,0,62,16,230,220,27.2,32.3,28,30,58,0,370,63.19049645,14.65831485,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:28,363,15677.65039,117,3.798000097,38,361,63.19041708,14.65810748,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,2.0R,2
2478,19/09/2024 08:29,64.89,0,19.3,178,0,62,17,210,190,24.3,23,26,29,55,0,370,63.19052495,14.65839305,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363,15682.53027,118,4.451000214,36,415,63.19044616,14.65819658,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,70.43,0,19.8,177,0,62,18,220,220,24.2,30.2,26,28,54,0,370,63.19055513,14.65848089,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363,15688,120,4.861000061,34,433,63.19047139,14.65828283,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,75.27,0,19.8,171,0,61,19,230,200,24.8,23.7,25,27,52,0,370,63.19057826,14.65856278,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363,15693.25977,121,4.982999802,34,452,63.1904988,14.65836598,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,80.83,0,20.1,167,0,61,20,220,210,22.4,29.1,24,26,50,0,370,63.19060072,14.65866161,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363,15698.29004,123,4.861000061,34,456,63.19052369,14.65845206,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,86.49,0,20.1,164,0,62,21,240,200,23,21.6,24,25,49,0,370,63.19062989,14.65875423,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363,15703.37988,124,4.861000061,33,457,63.19055429,14.65854728,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,92.65,0,20.1,158,0,62,22,230,200,23.2,22.6,23,24,47,0,370,63.19065797,14.65886001,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,362.7999878,15709.21973,127,4.815000057,33,415,63.19058052,14.65863939,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,98.49,0,19.6,153,0,62,23,200,210,20.7,22.1,23,24,47,0,370,63.19069678,14.65893863,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,362.7999878,15714.62988,128,4.815000057,33,412,63.19061237,14.65873805,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,103.32,0,19.4,152,0,62,24,210,190,20,21.4,23,24,47,0,370,63.19071908,14.65902144,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,362.7999878,15720.74023,130,5.076000214,33,441,63.19063886,14.65882648,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2478,19/09/2024 08:29,109.1,0,18.9,150,0,61,26,220,160,22.2,20.7,23,24,47,0,370,63.19074866,14.65911607,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,362.6000061,15726.12988,131,5.085000038,33,439,63.19066945,14.65891214,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2478,19/09/2024 08:29,113.75,0,19.2,150,0,61,26,200,210,22,24.7,23,24,47,0,370,63.19077247,14.65919226,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,362.6000061,15731.62988,132,5.235000134,32,460,63.19069636,14.65899881,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2478,19/09/2024 08:29,118.8,0,18.9,148,0,59,28,220,190,19.9,20.5,23,24,47,0,371,63.19080055,14.65927147,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,362.6000061,15737,134,5.235000134,31,444,63.1907267,14.65908062,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
