time,force_left_n,force_right_n
1725607140.000,0.000,0.000
1725607140.010,0.000,0.000
1725607140.020,0.000,0.000
1725607140.030,0.000,0.000
1725607140.040,0.000,0.000
1725607140.050,0.000,0.000
1725607140.060,0.000,0.000
1725607140.070,-20.400,0.000
1725607140.080,-22.800,0.000
1725607140.090,-22.400,0.000
1725607140.100,-25.500,0.000
1725607140.110,-22.800,0.000
1725607140.120,-21.200,0.000
1725607140.130,-21.500,0.000
1725607140.140,0.000,0.000
1725607140.150,-22.700,0.000
1725607140.160,-22.300,0.000
1725607140.170,-24.700,0.000
1725607140.180,-22.700,0.000
1725607140.190,-21.900,0.000
1725607140.200,-23.000,0.000
1725607140.210,-23.000,0.000
1725607140.220,-22.100,0.000
1725607140.230,-21.700,0.000
1725607140.240,-22.400,0.000
1725607140.250,-23.500,0.000
1725607140.260,-23.500,0.000
1725607140.270,-26.400,0.000
1725607140.280,0.000,0.000
1725607140.290,-24.100,0.000
1725607140.300,-24.500,0.000
1725607140.310,-26.600,0.000
1725607140.320,-21.600,0.000
1725607140.330,-24.800,0.000
1725607140.340,-27.400,0.000
1725607140.350,-27.600,0.000
1725607140.360,-22.100,0.000
1725607140.370,-22.500,0.000
1725607140.380,-24.400,0.000
1725607140.390,-22.800,0.000
1725607140.400,-23.700,0.000
1725607140.410,0.000,0.000
1725607140.420,-22.900,0.000
1725607140.430,-22.700,0.000
1725607140.440,0.000,0.000
1725607140.450,-20.800,0.000
1725607140.460,0.000,0.000
1725607140.470,-21.100,0.000
1725607140.480,-22.200,0.000
1725607140.490,-21.600,0.000
1725607140.500,0.000,0.000
1725607140.510,-22.200,0.000
1725607140.520,0.000,0.000
1725607140.530,0.000,0.000
1725607140.540,-20.900,0.000
1725607140.550,-21.500,0.000
1725607140.560,0.000,0.000
1725607140.570,0.000,0.000
1725607140.580,0.000,0.000
1725607140.590,0.000,0.000
1725607140.600,-20.900,0.000
1725607140.610,-22.400,0.000
1725607140.620,-21.800,0.000
1725607140.630,-20.200,0.000
1725607140.640,0.000,0.000
1725607140.650,-21.600,0.000
1725607140.660,-21.800,0.000
1725607140.670,-20.500,0.000
1725607140.680,-20.100,0.000
1725607140.690,-23.000,0.000
1725607140.700,-21.800,0.000
1725607140.710,-22.200,0.000
1725607140.720,0.000,0.000
1725607140.730,-22.300,0.000
1725607140.740,0.000,0.000
1725607140.750,0.000,0.000
1725607140.760,0.000,0.000
1725607140.770,0.000,0.000
1725607140.780,0.000,0.000
1725607140.790,-21.200,0.000
1725607140.800,0.000,0.000
1725607140.810,-20.600,0.000
1725607140.820,-20.100,0.000
1725607140.830,0.000,0.000
1725607140.840,-20.300,0.000
1725607140.850,-21.300,0.000
1725607140.860,-21.500,0.000
1725607140.870,-21.000,0.000
1725607140.880,-20.500,0.000
1725607140.890,-20.700,0.000
1725607140.900,-21.000,0.000
1725607140.910,0.000,0.000
1725607140.920,0.000,0.000
1725607140.930,0.000,0.000
1725607140.940,0.000,0.000
1725607140.950,0.000,0.000
1725607140.960,0.000,0.000
1725607140.970,0.000,0.000
1725607140.980,0.000,0.000
1725607140.990,0.000,0.000
1725607141.000,0.000,0.000
1725607141.010,0.000,0.000
1725607141.020,0.000,0.000
1725607141.030,0.000,0.000
1725607141.040,0.000,0.000
1725607141.050,0.000,0.000
1725607141.060,0.000,0.000
1725607141.070,0.000,0.000
1725607141.080,0.000,0.000
1725607141.090,0.000,0.000
1725607141.100,0.000,0.000
1725607141.110,0.000,0.000
1725607141.120,0.000,0.000
1725607141.130,0.000,21.100
1725607141.140,0.000,42.100
1725607141.150,0.000,47.600
1725607141.160,0.000,44.500
1725607141.170,0.000,46.500
1725607141.180,0.000,57.300
1725607141.190,0.000,72.000
1725607141.200,0.000,80.000
1725607141.210,0.000,83.600
1725607141.220,0.000,87.700
1725607141.230,0.000,92.500
1725607141.240,0.000,94.800
1725607141.250,0.000,97.600
1725607141.260,0.000,101.500
1725607141.270,0.000,101.100
1725607141.280,0.000,101.700
1725607141.290,0.000,102.700
1725607141.300,0.000,103.700
1725607141.310,0.000,105.000
1725607141.320,0.000,103.500
1725607141.330,0.000,100.500
1725607141.340,0.000,95.200
1725607141.350,0.000,91.400
1725607141.360,0.000,85.300
1725607141.370,0.000,75.300
1725607141.380,0.000,66.200
1725607141.390,0.000,56.900
1725607141.400,0.000,46.100
1725607141.410,0.000,36.300
1725607141.420,0.000,28.800
1725607141.430,0.000,0.000
1725607141.440,0.000,0.000
1725607141.450,0.000,0.000
1725607141.460,0.000,0.000
1725607141.470,0.000,0.000
1725607141.480,0.000,0.000
1725607141.490,0.000,0.000
1725607141.500,0.000,0.000
1725607141.510,0.000,0.000
1725607141.520,0.000,0.000
1725607141.530,0.000,0.000
1725607141.540,0.000,0.000
1725607141.550,0.000,0.000
1725607141.560,20.500,0.000
1725607141.570,33.100,0.000
1725607141.580,41.600,0.000
1725607141.590,50.300,0.000
1725607141.600,56.300,0.000
1725607141.610,64.000,0.000
1725607141.620,69.700,0.000
1725607141.630,70.500,0.000
1725607141.640,73.900,0.000
1725607141.650,73.400,0.000
1725607141.660,74.400,0.000
1725607141.670,74.000,0.000
1725607141.680,73.200,0.000
1725607141.690,68.300,0.000
1725607141.700,67.400,0.000
1725607141.710,63.700,0.000
1725607141.720,61.100,0.000
1725607141.730,57.100,0.000
1725607141.740,49.200,0.000
1725607141.750,45.900,0.000
1725607141.760,39.200,0.000
1725607141.770,31.700,0.000
1725607141.780,26.800,0.000
1725607141.790,0.000,0.000
1725607141.800,0.000,0.000
1725607141.810,0.000,0.000
1725607141.820,0.000,0.000
1725607141.830,0.000,0.000
1725607141.840,0.000,0.000
1725607141.850,0.000,0.000
1725607141.860,0.000,0.000
