sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,lap,rifle,gear,usernote = None
2107,1717508174,111.06,0,17.9,107,105,72,13,210,120,24.6,9.9,20,15,35,0,364,63.1905121263117,14.6582258306444,1,0,2L,
2107,1717508175,116.26,0,18.1,105,106,72,14,180,120,17.2,9.2,19,14,33,0,364,63.1905380263925,14.6583119127899,1,0,2L,
2107,1717508176,121.68,0,19.5,99,110,70,16,170,120,14.2,9.6,19,14,33,0,364,63.1905656028539,14.6584010124207,1,0,3,
2107,1717508177,127.31,0,19.4,94,120,52,16,200,170,22,18.9,17,12,29,0,364,63.1905929278582,14.6584953926504,1,0,3,
2107,1717508178,133.74,0,18.7,81,124,51,17,120,170,7.4,18.9,15,10,25,0,364,63.1906211748719,14.6586072072387,1,0,3,
2107,1717508179,138.3,0,18.7,81,128,35,18,180,120,13.6,7.9,14,9,23,0,363,63.1906355079263,14.6586911939085,1,0,3,
2107,1717508180,142.08,0,18.7,81,137,53,18,180,120,13.6,9.3,15,11,26,0,361,63.1906472425908,14.658761434257,1,0,3,
2107,1717508181,146.82,0,18.7,85,142,65,20,160,120,13.4,10.4,16,12,28,0,359,63.1906669400632,14.6588450856507,1,0,3,
2107,1717508182,152.21,0,19.2,86,147,68,21,160,140,13.3,10.5,15,12,27,0,359,63.1906941812485,14.6589336823672,1,0,3,
2107,1717508183,157.69,0,19.5,86,150,65,22,130,130,8.3,10,14,12,26,0,359,63.1907197460532,14.6590266376734,1,0,3,
2107,1717508184,163.11,0,19.9,85,154,64,23,190,140,15.7,10.4,14,12,26,0,359,63.1907484959811,14.659112803638,1,0,3,
2107,1717508185,168.34,0,19.8,82,158,64,24,130,140,8.4,10.1,14,11,25,0,360,63.1907759048045,14.6591966226697,1,0,3,
2107,1717508186,173.56,0,18.9,75,161,49,25,190,140,14.7,12.5,14,10,24,0,361,63.1908039003611,14.6592798549682,1,0,3,
2107,1717508187,178.81,0,17.4,64,168,52,26,110,110,6.8,6.5,14,8,22,0,363,63.1908400263637,14.65934548527,1,0,3,
2107,1717508188,183.72,0,16.7,61,170,52,26,170,110,13.8,6.5,14,8,22,0,363,63.1908745598048,14.6594058349729,1,0,3,
2107,1717508189,188.05,0,16.4,61,173,28,28,170,110,13.9,7.5,14,8,22,0,363,63.1909018848091,14.6594672743231,1,0,3,
2107,1717508190,192.87,0,16.2,61,173,28,28,170,110,13.9,7.5,13,8,21,0,363,63.1909326463938,14.6595347486436,1,0,3,
2107,1717508191,198.66,0,18.4,61,174,33,28,150,0,12.5,0,13,8,21,0,363,63.1909736339003,14.6596054080874,1,0,3,
2107,1717508192,204.55,0,20,61,175,63,30,140,140,9.9,10.7,13,7,20,0,363,63.1910189799964,14.6596658416092,1,0,3,
2107,1717508193,210.16,0,19.4,61,175,45,30,140,110,10.6,6.1,13,6,19,0,365,63.1910608056933,14.6597278676927,1,0,3,
2107,1717508194,215.56,0,18.5,53,175,48,31,160,110,11.8,6.1,12,5,17,0,365,63.1911014579237,14.6597864571959,1,0,3,
2107,1717508195,220.92,0,18.3,52,176,0,32,140,110,10.9,6.2,12,5,17,0,365,63.1911398470402,14.659850075841,1,0,3,
2107,1717508196,226.28,0,18.4,51,176,0,32,140,110,10.9,6.2,11,5,16,0,365,63.1911754701287,14.6599219925702,1,0,3,
2107,1717508197,231.23,0,17.8,49,176,0,32,170,0,14,0,12,5,17,0,365,63.191208159551,14.6599889639765,1,0,3,
2107,1717508198,235.89,0,17.3,49,175,0,32,170,0,14,0,12,5,17,0,365,63.1912378314883,14.6600545942783,1,0,3,
2107,1717508199,240.84,0,17.5,47,175,0,33,180,0,13.5,0,11,5,16,0,364,63.1912683416158,14.6601264271885,1,0,3,
2107,1717508200,245.43,0,17.8,47,175,0,34,120,0,10,0,11,5,16,0,364,63.1912930682302,14.660199098289,1,0,3,
2107,1717508201,250.55,0,17.8,47,175,0,34,120,0,10,0,10,5,15,0,364,63.1913206446916,14.6602806542069,1,0,3,
2107,1717508202,256.19,0,18.8,47,175,0,34,140,0,10.2,0,9,6,15,0,363,63.1913554295898,14.6603623777628,1,0,3,
2107,1717508203,261.41,0,19.1,47,174,0,34,140,130,10.2,10.1,9,7,16,0,363,63.1913856882602,14.6604413352907,1,0,3,
2107,1717508204,266.38,0,19.2,47,175,0,35,140,130,10.4,10.1,9,6,15,0,363,63.1914079003036,14.660526830703,1,0,3,
2107,1717508205,271.23,0,19.1,48,175,0,35,140,0,10.4,0,9,5,14,0,361,63.1914313696325,14.6606077160686,1,0,3,
2107,1717508206,276.07,0,18.6,48,175,0,36,130,0,9.3,0,9,6,15,0,360,63.1914601195604,14.660680135712,1,0,3,
2107,1717508207,280.66,0,18.5,52,175,49,36,130,110,9.3,6.7,10,7,17,0,360,63.1914884503931,14.6607466042042,1,0,3,
2107,1717508208,285.66,0,18.6,53,175,28,37,170,110,13.2,5.9,10,7,17,0,360,63.1915180385113,14.6608217060566,1,0,3,
2107,1717508209,290.43,0,17.9,57,175,28,38,150,110,10.9,5.9,11,8,19,0,360,63.1915503088385,14.6608828101307,1,0,3,
2107,1717508210,295.21,0,17.4,58,175,0,38,150,0,10.9,0,13,7,20,0,362,63.191586099565,14.6609353646636,1,0,3,
2107,1717508211,300.74,0,18.3,58,175,0,38,200,130,18.9,11.1,13,6,19,0,364,63.1916296016425,14.6609885059297,1,0,3,
2107,1717508212,306.82,0,19.5,58,175,0,38,200,130,18.9,11.1,13,5,18,0,364,63.191678635776,14.6610418148339,1,0,3,
2107,1717508213,312.62,0,19.3,58,175,0,39,180,0,13.5,0,12,5,17,0,364,63.1917264964432,14.6610874962062,1,0,3,
2107,1717508214,317.75,0,18.8,60,175,0,39,180,0,13.5,0,12,7,19,0,364,63.1917689926922,14.6611271426082,1,0,3,
2107,1717508215,323.67,0,18.5,61,175,63,40,130,130,9.8,11.4,13,9,22,0,363,63.1918160989881,14.661182211712,1,0,3,
2107,1717508216,329.65,0,18.4,61,176,64,41,160,120,14.4,9.6,13,9,22,0,363,63.1918638758361,14.6612365264446,1,0,3,
2107,1717508217,334.34,0,18.3,61,176,47,42,190,110,16.1,6.5,12,8,20,0,362,63.1919000856578,14.6612838841975,1,0,3,
2107,1717508218,338.87,0,17.3,52,176,46,42,110,110,6.9,6.5,11,7,18,0,361,63.1919351220131,14.6613296493888,1,0,3,
2107,1717508219,343.64,0,17.2,52,177,39,44,150,130,10.3,8.8,11,6,17,0,361,63.1919712480158,14.661380359903,1,0,3,
2107,1717508220,347.76,0,18.7,52,177,0,44,140,130,10.3,8.8,10,6,16,0,361,63.1920005008578,14.6614308189601,1,0,3,
2107,1717508221,353.01,0,19.4,52,177,0,44,140,0,10.3,0,10,6,16,0,360,63.1920388061553,14.6614918392152,1,0,3,
2107,1717508222,359.2,0,20.3,52,177,0,45,0,110,0,7.9,11,5,16,0,360,63.1920870859176,14.6615530271083,1,0,3,
2107,1717508223,364.45,0,19.5,54,177,26,46,180,110,16.5,7.9,11,5,16,0,360,63.1921261455864,14.661610443145,1,0,3,
2107,1717508224,370.44,0,20.1,62,178,32,46,160,0,13.4,0,13,6,19,0,360,63.1921729166061,14.6616677753627,1,0,3,
2107,1717508225,376.81,0,19.7,62,179,62,47,170,120,12,7.8,14,6,20,0,359,63.1922232080251,14.6617277897894,1,0,3,
2107,1717508226,382.28,0,18.7,62,179,0,48,170,110,17.5,8.5,14,6,20,0,358,63.1922649499029,14.6617854572833,1,0,3,
2107,1717508227,387.68,0,18.5,59,178,0,48,170,110,17.5,8.5,13,6,19,0,357,63.1923046801239,14.6618473157287,1,0,3,
2107,1717508228,393.39,0,19,59,179,30,48,170,0,16.2,0,12,6,18,0,357,63.192341895774,14.6619250997901,1,0,3,
2107,1717508229,399.3,0,19.4,59,179,32,49,110,0,6.4,0,12,6,18,0,357,63.1923775188625,14.6620125230402,1,0,3,
2107,1717508230,404.52,0,19.4,65,179,32,50,140,0,10.3,0,12,8,20,0,357,63.1924065202475,14.662094078958,1,0,3,
2107,1717508231,409.69,0,18.7,72,178,60,50,160,110,10.5,7.1,14,9,23,0,360,63.1924377847463,14.6621699351817,1,0,3,
2107,1717508232,414.22,0,18.2,79,178,63,52,200,140,19.1,11,15,11,26,0,361,63.1924556382,14.6622457075864,1,0,3,
2107,1717508233,419.19,0,18.2,88,178,66,52,150,130,8.7,9.1,17,12,29,0,361,63.1924742460251,14.6623338852078,1,0,3,
2107,1717508234,424.74,0,18,102,179,70,54,210,140,19.5,9.1,20,14,34,0,362,63.1924971286207,14.6624320372939,1,0,3,
2107,1717508235,429.31,0,17.6,117,179,71,55,190,180,13.6,17.7,23,17,40,0,362,63.1925102043897,14.6625180356205,1,0,3,
2107,1717508236,433.58,0,17.4,130,179,72,56,200,150,16.2,10,25,20,45,0,364,63.1925185862929,14.6626010164619,1,0,3,
2107,1717508237,437.94,0,16.5,130,179,69,58,230,200,21.7,21.1,26,25,51,0,365,63.1925207655877,14.6626866795123,1,0,3,
2107,1717508238,441.34,0,14.5,130,179,69,58,270,200,25.8,20.3,28,29,57,0,365,63.1925246212631,14.6627502143383,1,0,3,
