sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None
2163,1718177160,0.0,0.0,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,372.0,63.190276930108666,14.657609090209007,
2163,1718177161,0.37,0.0,0.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,21.0,0.0,372.0,63.190276930108666,14.657609090209007,
2163,1718177162,0.61,0.0,1.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,40.0,0.0,372.0,63.190276930108666,14.657609090209007,
2163,1718177163,0.85,0.0,1.3,11.0,0.0,63.0,1.0,260.0,270.0,30.7,28.2,29.0,26.0,55.0,0.0,372.0,63.19027483463287,14.657609090209007,
2163,1718177164,0.88,0.0,1.3,11.0,0.0,68.0,2.0,310.0,270.0,31.7,22.0,33.0,27.0,60.0,0.0,372.0,63.19027458317578,14.657608587294817,
2163,1718177165,0.92,0.0,1.3,11.0,0.0,62.0,3.0,280.0,330.0,32.5,22.9,31.0,23.0,54.0,0.0,372.0,63.190274415537715,14.657608084380627,
2163,1718177166,0.95,0.0,1.2,7.0,0.0,0.0,4.0,290.0,290.0,29.7,28.1,22.0,15.0,37.0,0.0,372.0,63.19027416408062,14.657607581466436,
2163,1718177167,0.99,0.0,1.2,4.0,0.0,0.0,4.0,290.0,290.0,29.7,28.1,11.0,7.0,18.0,0.0,372.0,63.190273996442556,14.657607078552246,
2163,1718177168,1.02,0.0,1.1,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,372.0,63.19027382880449,14.657606575638056,
2163,1718177169,1.05,0.0,1.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.1902735773474,14.657606072723866,
2163,1718177170,1.09,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190273409709334,14.657605569809675,
2163,1718177171,1.12,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027315825224,14.657604983076453,
2163,1718177172,1.16,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190272990614176,14.657604480162263,
2163,1718177173,1.19,0.0,0.9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027282297611,14.657603977248073,
2163,1718177174,1.22,0.0,0.9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027257151902,14.657603474333882,
2163,1718177175,1.26,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190272403880954,14.657602971419692,
2163,1718177176,1.29,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027215242386,14.657602971419692,
2163,1718177177,1.33,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190271984785795,14.657602971419692,
2163,1718177178,1.41,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027181714773,14.657603558152914,
2163,1718177179,1.49,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027164950967,14.657605234533548,
2163,1718177180,1.57,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190271481871605,14.657606827095151,
2163,1718177181,1.66,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027131423354,14.657608419656754,
2163,1718177182,1.74,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027114659548,14.657610012218356,
2163,1718177183,1.82,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190270978957415,14.65761168859899,
2163,1718177184,1.91,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027081131935,14.657613281160593,
2163,1718177185,1.99,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027072750032,14.657613784074783,
2163,1718177186,2.11,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19026963785291,14.657613784074783,
2163,1718177187,2.23,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,63.190268548205495,14.657613784074783,
2163,1718177188,2.35,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,63.190267542377114,14.657613197341561,
2163,1718177189,2.47,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,63.1902664527297,14.657612694427371,
2163,1718177190,2.59,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,63.19026544690132,14.657612107694149,
2163,1718177191,2.71,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,63.19026435725391,14.657611604779959,
2163,1718177192,2.83,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,63.190264105796814,14.657611018046737,
2163,1718177193,2.88,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,63.190264105796814,14.65761068277061,
2163,1718177194,2.93,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190264105796814,14.657610263675451,
2163,1718177195,3.13,0.0,1.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19026586599648,14.657609509304166,
2163,1718177196,3.48,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19026628509164,14.657602552324533,
2163,1718177197,3.56,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19026687182486,14.65760137885809,
2163,1718177198,3.65,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19026737473905,14.657600205391645,
2163,1718177199,3.74,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19026796147227,14.657599031925201,
2163,1718177200,3.82,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190268548205495,14.65759794227779,
2163,1718177201,3.91,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190269051119685,14.657596768811345,
2163,1718177202,3.99,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19026963785291,14.657595595344901,
2163,1718177203,4.08,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027022458613,14.657594421878457,
2163,1718177204,4.16,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027081131935,14.657593248412013,
2163,1718177205,4.25,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027131423354,14.657592074945569,
2163,1718177206,4.33,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027190096676,14.657590985298157,
2163,1718177207,4.42,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190272487699986,14.657589811831713,
2163,1718177208,4.5,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190272990614176,14.657588638365269,
2163,1718177209,4.59,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.1902735773474,14.657587464898825,
2163,1718177210,4.67,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027416408062,14.65758629143238,
2163,1718177211,4.76,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027466699481,14.657585117965937,
2163,1718177212,4.84,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027525372803,14.657583944499493,
2163,1718177213,4.93,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190275840461254,14.65758285485208,
2163,1718177214,5.01,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190276343375444,14.657581681385636,
2163,1718177215,5.1,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190276930108666,14.657580507919192,
2163,1718177216,5.19,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027751684189,14.657579334452748,
2163,1718177217,5.27,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027810357511,14.657578160986304,
2163,1718177218,5.36,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.1902786064893,14.65757698751986,
2163,1718177219,5.44,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19027919322252,14.657575897872448,
2163,1718177220,5.53,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190279779955745,14.657574724406004,
2163,1718177221,5.61,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190280282869935,14.65757355093956,
2163,1718177222,5.7,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028086960316,14.657572377473116,
2163,1718177223,5.78,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028145633638,14.657571204006672,
2163,1718177224,5.87,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028195925057,14.657570030540228,
2163,1718177225,5.95,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028254598379,14.657568857073784,
2163,1718177226,6.04,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028313271701,14.657567767426372,
2163,1718177227,6.12,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190283635631204,14.657566593959928,
2163,1718177228,6.21,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190284222364426,14.657565420493484,
2163,1718177229,6.29,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028480909765,14.65756424702704,
2163,1718177230,6.38,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028539583087,14.657563073560596,
2163,1718177231,6.47,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028589874506,14.657561900094151,
2163,1718177232,6.55,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028648547828,14.65756081044674,
2163,1718177233,6.64,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190287072211504,14.657559636980295,
2163,1718177234,6.72,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190287072211504,14.657558463513851,
2163,1718177235,6.81,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190287072211504,14.657557290047407,
2163,1718177236,7.18,0.0,0.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.1902854796499,14.65755301527679,
2163,1718177237,7.19,0.0,0.6,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028539583087,14.657552763819695,
2163,1718177238,7.21,0.0,0.6,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028539583087,14.657552428543568,
2163,1718177239,7.22,0.0,0.6,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028539583087,14.657552177086473,
2163,1718177240,7.24,0.0,0.6,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028539583087,14.657551841810346,
2163,1718177241,7.25,0.0,0.6,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028531201184,14.65755159035325,
2163,1718177242,7.27,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028531201184,14.657551255077124,
2163,1718177243,7.28,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028531201184,14.657551003620028,
2163,1718177244,7.3,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19028531201184,14.657550668343902,
2163,1718177245,7.31,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190285228192806,14.657550416886806,
2163,1718177246,7.32,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190285228192806,14.65755008161068,
2163,1718177247,7.34,0.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.190285228192806,14.657549830153584,
2163,1718177248,7.35,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.190285228192806,14.657549494877458,
2163,1718177249,7.37,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.190285144373775,14.657549243420362,
2163,1718177250,7.38,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.190285144373775,14.657548908144236,
2163,1718177251,7.4,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.190285144373775,14.65754865668714,
2163,1718177252,7.41,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.190285144373775,14.657548405230045,
2163,1718177253,7.43,0.0,0.9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.190285144373775,14.657548069953918,
2163,1718177254,7.44,0.0,0.9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028506055474,14.657547818496823,
2163,1718177255,7.46,0.0,0.9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028506055474,14.657547483220696,
2163,1718177256,7.47,0.0,0.9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028506055474,14.657547231763601,
2163,1718177257,7.49,0.0,0.9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028506055474,14.657546896487474,
2163,1718177258,7.5,0.0,0.9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028497673571,14.65754664503038,
2163,1718177259,7.52,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028497673571,14.657546309754252,
2163,1718177260,7.53,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028497673571,14.657546058297157,
2163,1718177261,7.55,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028497673571,14.65754572302103,
2163,1718177262,7.56,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028489291668,14.657545471563935,
2163,1718177263,7.58,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028489291668,14.657545136287808,
2163,1718177264,7.59,0.0,1.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028489291668,14.657544884830713,
2163,1718177265,7.6,0.0,1.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028489291668,14.657544549554586,
2163,1718177266,7.62,0.0,1.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028480909765,14.657544298097491,
2163,1718177267,7.63,0.0,1.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028480909765,14.657543962821364,
2163,1718177268,7.65,0.0,1.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,63.19028480909765,14.65754371136427,
2163,1718177269,7.66,0.0,1.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.19028480909765,14.657543459907174,
2163,1718177270,7.68,0.0,1.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.19028480909765,14.657543124631047,
2163,1718177271,7.69,0.0,1.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.190284725278616,14.657542873173952,
2163,1718177272,7.71,0.0,1.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.190284725278616,14.657542537897825,
2163,1718177273,7.72,0.0,1.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.190284725278616,14.65754228644073,
2163,1718177274,7.74,0.0,1.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.190284725278616,14.657541951164603,
2163,1718177275,7.75,0.0,1.3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.190284641459584,14.657541699707508,
