sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Variant,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Kolumn1,Unnamed: 40,Unnamed: 41,Unnamed: 42,RowColor,Lap,Gear
2107,2024-06-04 13:36:13,100.14,0.0,17.5,105.0,104.0,75.0,10.0,170.0,130.0,16.4,12.3,22.0,18.0,40.0,0.0,364.0,63.19046032615006,14.65804067440331,,NR,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000.0,6.829999923706055,58.0,177.0,192.0,Active,Manual,2024-06-04 13:36:14,361.79998779296875,5490.41015625,104.0,3.246999979019165,45.0,346.0,63.190416572615504,14.658053750172257,3.8369998931884766,36.0,69.0,395.0,636.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,181.05141388174806,,,,FFFFFF,1,2.0V
2107,2024-06-04 13:36:14,105.65,0.0,17.9,105.0,104.0,72.0,12.0,180.0,170.0,17.5,16.9,22.0,17.0,39.0,0.0,364.0,63.19048614241183,14.6581344678998,,NR,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000.0,6.829999923706055,58.0,177.0,192.0,Active,Manual,2024-06-04 13:36:14,361.79998779296875,5490.41015625,104.0,3.246999979019165,45.0,346.0,63.190416572615504,14.658053750172257,3.8369998931884766,36.0,69.0,395.0,636.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,181.05141388174806,,,,FFFFFF,1,2.0V
2107,2024-06-04 13:36:15,111.06,0.0,17.9,107.0,105.0,72.0,13.0,210.0,120.0,24.6,9.9,20.0,15.0,35.0,0.0,364.0,63.19051212631166,14.65822583064437,,NR,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000.0,6.829999923706055,58.0,177.0,192.0,Active,Manual,2024-06-04 13:36:15,361.6000061035156,5495.97021484375,104.0,4.328999996185303,44.0,513.0,63.19044523872435,14.658147543668747,3.8369998931884766,36.0,69.0,395.0,636.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,181.24421593830334,,177.21158129175947,192.0,FFFFFF,1,2.0V
2107,2024-06-04 13:36:16,116.26,0.0,18.1,105.0,106.0,72.0,14.0,180.0,120.0,17.2,9.2,19.0,14.0,33.0,0.0,364.0,63.19053802639246,14.65831191278994,,NR,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000.0,6.829999923706055,58.0,177.0,192.0,Active,Manual,2024-06-04 13:36:16,361.3999938964844,5501.5,105.0,4.796000003814697,41.0,539.0,63.19047348573804,14.658244773745537,3.8369998931884766,36.0,69.0,395.0,636.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,181.43701799485862,,,,FFFFFF,1,3.0
2107,2024-06-04 13:36:17,121.68,0.0,19.5,99.0,110.0,70.0,16.0,170.0,120.0,14.2,9.6,19.0,14.0,33.0,0.0,364.0,63.190565602853894,14.658401012420654,,NR,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000.0,6.829999923706055,58.0,177.0,192.0,Active,Manual,2024-06-04 13:36:17,361.20001220703125,5506.81005859375,105.0,5.188000202178955,38.0,543.0,63.190505085512996,14.658317444846034,3.8369998931884766,36.0,69.0,395.0,636.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,181.62467866323908,,,,FFFFFF,1,3.0
2107,2024-06-04 13:36:18,127.31,0.0,19.4,94.0,120.0,52.0,16.0,200.0,170.0,22.0,18.9,17.0,12.0,29.0,0.0,364.0,63.19059292785823,14.658495392650366,,NR,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000.0,6.829999923706055,58.0,177.0,192.0,Active,Manual,2024-06-04 13:36:18,361.20001220703125,5511.56005859375,113.0,5.263000011444092,37.0,556.0,63.19053106941283,14.658389696851373,3.8369998931884766,36.0,69.0,395.0,636.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,181.80976863753213,,,,FFFFFF,1,3.0
2107,2024-06-04 13:36:19,133.74,0.0,18.7,81.0,124.0,51.0,17.0,120.0,170.0,7.4,18.9,15.0,10.0,25.0,0.0,364.0,63.19062117487192,14.658607207238674,,NR,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000.0,6.829999923706055,58.0,177.0,192.0,Active,Manual,2024-06-04 13:36:19,361.0,5517.14990234375,119.0,5.263000011444092,38.0,537.0,63.1905566342175,14.658486926928163,3.8369998931884766,36.0,69.0,395.0,636.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,181.97429305912596,,,,FFFFFF,1,3.0
2107,2024-06-04 13:36:20,138.3,0.0,18.7,81.0,128.0,35.0,18.0,180.0,120.0,13.6,7.9,14.0,9.0,23.0,0.0,363.0,63.190635507926345,14.658691193908451,,NR,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000.0,6.829999923706055,58.0,177.0,192.0,Active,Manual,2024-06-04 13:36:20,361.20001220703125,5522.91015625,124.0,5.263000011444092,38.0,541.0,63.19058630615473,14.658578373491764,3.8369998931884766,36.0,69.0,395.0,636.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,182.11568123393317,,,,FFFFFF,1,3.0
2107,2024-06-04 13:36:21,142.08,0.0,18.7,81.0,137.0,53.0,18.0,180.0,120.0,13.6,9.3,15.0,11.0,26.0,0.0,361.0,63.190647242590785,14.65876143425703,,NR,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000.0,6.829999923706055,58.0,177.0,192.0,Active,Manual,2024-06-04 13:36:21,361.20001220703125,5528.14990234375,131.0,5.317999839782715,37.0,486.0,63.190612541511655,14.658669903874397,3.8369998931884766,36.0,69.0,395.0,636.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,182.24421593830334,,,,FFFFFF,1,3.0
2107,2024-06-04 13:36:22,146.82,0.0,18.7,85.0,142.0,65.0,20.0,160.0,120.0,13.4,10.4,16.0,12.0,28.0,0.0,359.0,63.19066694006324,14.658845085650682,,NR,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000.0,6.829999923706055,58.0,177.0,192.0,Active,Manual,2024-06-04 13:36:22,361.20001220703125,5533.58984375,137.0,5.374000072479248,37.0,493.0,63.190643303096294,14.658754728734493,3.8369998931884766,36.0,69.0,395.0,636.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,182.3573264781491,,,,FFFFFF,1,3.0
