sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-5WR,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear
2127,2024-06-07 08:34:58,124.97,0.0,21.2,319.0,125.0,68.0,8.0,210.0,210.0,37.4,37.4,45.0,45.0,90.0,0.0,366.0,63.19086282514036,14.659491833299398,,Running,2024-06-07T06:56:19.000Z,2024-06-07T08:22:03.000Z,855.442,1000.0,6.848999977111816,39.0,112.0,169.0,Active,Manual,2024-06-07 08:34:59,364.6000061035156,18181.759765625,127.0,3.2279999256134033,30.0,299.0,63.19042797200382,14.658117620274425,1.1690000295639038,11.0,122.0,84.0,685.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,169.14508928571428,181.0,FFFFFF,1,
2127,2024-06-07 08:34:59,130.96,0.0,22.3,282.0,127.0,71.0,9.0,170.0,170.0,32.7,32.7,38.0,38.0,76.0,0.0,366.0,63.19090741686523,14.659559056162834,,Running,2024-06-07T06:56:19.000Z,2024-06-07T08:22:03.000Z,855.442,1000.0,6.848999977111816,39.0,112.0,169.0,Active,Manual,2024-06-07 08:34:59,364.6000061035156,18181.759765625,127.0,3.2279999256134033,30.0,299.0,63.19042797200382,14.658117620274425,1.1690000295639038,11.0,122.0,84.0,685.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,169.14508928571428,181.0,FFFFFF,1,
2127,2024-06-07 08:35:00,137.51,0.0,22.2,252.0,128.0,67.0,10.0,160.0,160.0,27.0,27.0,34.0,34.0,68.0,0.0,366.0,63.19094471633434,14.65965997427702,,Running,2024-06-07T06:56:19.000Z,2024-06-07T08:22:03.000Z,855.442,1000.0,6.848999977111816,39.0,112.0,169.0,Active,Manual,2024-06-07 08:35:00,364.6000061035156,18188.25,130.0,5.364999771118164,32.0,460.0,63.19046049378812,14.658222896978259,1.1690000295639038,11.0,122.0,84.0,685.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,
2127,2024-06-07 08:35:01,143.73,0.0,22.7,242.0,132.0,69.0,11.0,170.0,170.0,27.0,27.0,32.0,32.0,64.0,0.0,366.0,63.190988805145025,14.65973666869104,,Running,2024-06-07T06:56:19.000Z,2024-06-07T08:22:03.000Z,855.442,1000.0,6.848999977111816,39.0,112.0,169.0,Active,Manual,2024-06-07 08:35:01,364.3999938964844,18194.759765625,132.0,6.28000020980835,33.0,570.0,63.19049318321049,14.658334627747536,1.1690000295639038,11.0,122.0,84.0,685.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,
2127,2024-06-07 08:35:02,149.09,0.0,22.8,220.0,135.0,67.0,12.0,160.0,160.0,30.9,30.9,29.0,29.0,58.0,0.0,365.0,63.19102945737541,14.659793833270667,,Running,2024-06-07T06:56:19.000Z,2024-06-07T08:22:03.000Z,855.442,1000.0,6.848999977111816,39.0,112.0,169.0,Active,Manual,2024-06-07 08:35:02,364.3999938964844,18201.470703125,134.0,6.354000091552734,34.0,615.0,63.190530398860574,14.658437725156546,1.1690000295639038,11.0,122.0,84.0,685.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,
2127,2024-06-07 08:35:03,155.59,0.0,24.2,210.0,136.0,67.0,13.0,160.0,160.0,24.5,24.5,26.0,26.0,52.0,0.0,363.0,63.19107404910028,14.659877652302384,,Running,2024-06-07T06:56:19.000Z,2024-06-07T08:22:03.000Z,855.442,1000.0,6.848999977111816,39.0,112.0,169.0,Active,Manual,2024-06-07 08:35:03,364.20001220703125,18208.23046875,136.0,6.381999969482422,34.0,655.0,63.190565099939704,14.658544762060046,1.1690000295639038,11.0,122.0,84.0,685.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,
2127,2024-06-07 08:35:04,162.38,0.0,24.4,187.0,138.0,64.0,14.0,120.0,120.0,20.6,20.6,23.0,23.0,46.0,0.0,363.0,63.19112308323383,14.659958370029926,,Running,2024-06-07T06:56:19.000Z,2024-06-07T08:22:03.000Z,855.442,1000.0,6.848999977111816,39.0,112.0,169.0,Active,Manual,2024-06-07 08:35:04,364.3999938964844,18214.619140625,138.0,6.559000015258789,34.0,685.0,63.19059904664755,14.658646183088422,1.1690000295639038,11.0,122.0,84.0,685.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,
2127,2024-06-07 08:35:05,169.15,0.0,24.4,179.0,143.0,67.0,16.0,130.0,130.0,17.9,17.9,22.0,22.0,44.0,0.0,363.0,63.19117018952966,14.66004403308034,,Running,2024-06-07T06:56:19.000Z,2024-06-07T08:22:03.000Z,855.442,1000.0,6.848999977111816,39.0,112.0,169.0,Active,Manual,2024-06-07 08:35:05,364.3999938964844,18221.419921875,141.0,6.559000015258789,34.0,651.0,63.190635005012155,14.658759674057364,1.1690000295639038,11.0,122.0,84.0,685.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,
2127,2024-06-07 08:35:06,177.43,0.0,24.4,171.0,144.0,67.0,17.0,110.0,110.0,15.0,15.0,21.0,21.0,42.0,0.0,363.0,63.19121654145419,14.66017303057015,,Running,2024-06-07T06:56:19.000Z,2024-06-07T08:22:03.000Z,855.442,1000.0,6.848999977111816,39.0,112.0,169.0,Active,Manual,2024-06-07 08:35:06,364.3999938964844,18228.630859375,143.0,6.420000076293945,34.0,602.0,63.19066836498678,14.658883139491081,1.1690000295639038,11.0,122.0,84.0,685.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,
2127,2024-06-07 08:35:07,184.33,0.0,23.0,165.0,147.0,64.0,18.0,120.0,120.0,23.5,23.5,21.0,21.0,42.0,0.0,363.0,63.191259540617466,14.660272188484669,,Running,2024-06-07T06:56:19.000Z,2024-06-07T08:22:03.000Z,855.442,1000.0,6.848999977111816,39.0,112.0,169.0,Active,Manual,2024-06-07 08:35:07,364.3999938964844,18236.16015625,147.0,6.242000102996826,34.0,569.0,63.190702898427844,14.659007107838988,1.1690000295639038,11.0,122.0,84.0,685.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,
