sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-20WR,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear
2468,2024-09-18 09:06:40,87.01,0.0,25.4,288.0,0.0,68.0,14.0,210.0,200.0,33.0,27.5,36.0,32.0,68.0,0.0,371.0,63.190647745504975,14.65876629576087,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:58:35.000Z,680.592,1000.0,7.157000064849854,47.0,117.0,172.0,Active,Manual,2024-09-18 09:06:41,364.6000061035156,17100.880859375,111.0,4.964000225067139,57.0,481.0,63.190396539866924,14.65801770798862,1.468999981880188,13.0,125.0,132.0,781.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,2.0H
2468,2024-09-18 09:06:41,93.32,0.0,25.4,275.0,0.0,69.0,16.0,200.0,180.0,27.2,24.4,34.0,31.0,65.0,0.0,370.0,63.19067674688995,14.658874589949846,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:58:35.000Z,680.592,1000.0,7.157000064849854,47.0,117.0,172.0,Active,Manual,2024-09-18 09:06:41,364.6000061035156,17100.880859375,111.0,4.964000225067139,57.0,481.0,63.190396539866924,14.65801770798862,1.468999981880188,13.0,125.0,132.0,781.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,2.0H
2468,2024-09-18 09:06:42,100.27,0.0,24.1,257.0,0.0,67.0,17.0,210.0,200.0,30.9,34.6,33.0,31.0,64.0,0.0,370.0,63.190709268674254,14.658992942422628,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:58:35.000Z,680.592,1000.0,7.157000064849854,47.0,117.0,172.0,Active,Manual,2024-09-18 09:06:42,364.6000061035156,17106.810546875,114.0,5.131999969482422,56.0,674.0,63.19042813964188,14.658115273341537,1.468999981880188,13.0,125.0,132.0,781.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,2.0H
2468,2024-09-18 09:06:43,106.98,0.0,23.4,249.0,0.0,63.0,18.0,210.0,190.0,33.4,22.8,32.0,30.0,62.0,0.0,370.0,63.1907416228205,14.659105846658347,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:58:35.000Z,680.592,1000.0,7.157000064849854,47.0,117.0,172.0,Active,Manual,2024-09-18 09:06:43,364.3999938964844,17112.9296875,116.0,5.849999904632568,39.0,596.0,63.19045739248395,14.658211078494787,1.468999981880188,13.0,125.0,132.0,781.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,3.0
2468,2024-09-18 09:06:44,113.96,0.0,25.3,242.0,0.0,67.0,20.0,190.0,190.0,25.5,29.9,31.0,28.0,59.0,0.0,370.0,63.19077699445188,14.65922076255083,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:58:35.000Z,680.592,1000.0,7.157000064849854,47.0,117.0,172.0,Active,Manual,2024-09-18 09:06:44,364.3999938964844,17119.919921875,119.0,6.01800012588501,34.0,577.0,63.190494356676936,14.658322054892778,1.468999981880188,13.0,125.0,132.0,781.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,3.0
2468,2024-09-18 09:06:45,121.0,0.0,25.5,242.0,0.0,66.0,20.0,190.0,170.0,27.2,19.1,29.0,28.0,57.0,0.0,370.0,63.19081957451999,14.65932478196919,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:58:35.000Z,680.592,1000.0,7.157000064849854,47.0,117.0,172.0,Active,Manual,2024-09-18 09:06:45,364.20001220703125,17127.0703125,121.0,6.01800012588501,33.0,566.0,63.1905325781554,14.65843303129077,1.468999981880188,13.0,125.0,132.0,781.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,3.0
2468,2024-09-18 09:06:46,127.77,0.0,25.0,242.0,0.0,67.0,22.0,160.0,190.0,19.2,28.8,29.0,28.0,57.0,0.0,370.0,63.190873470157385,14.659387562423944,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:58:35.000Z,680.592,1000.0,7.157000064849854,47.0,117.0,172.0,Active,Manual,2024-09-18 09:06:46,364.20001220703125,17133.869140625,124.0,6.586999893188477,33.0,596.0,63.19057113490999,14.65854400768876,1.468999981880188,13.0,125.0,132.0,781.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,3.0
2468,2024-09-18 09:06:47,134.12,0.0,22.8,241.0,0.0,67.0,22.0,210.0,180.0,29.5,19.2,29.0,29.0,58.0,0.0,370.0,63.190915966406465,14.659471968188882,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:58:35.000Z,680.592,1000.0,7.157000064849854,47.0,117.0,172.0,Active,Manual,2024-09-18 09:06:47,364.20001220703125,17141.109375,129.0,6.793000221252441,33.0,609.0,63.19061170332134,14.65865439735353,1.468999981880188,13.0,125.0,132.0,781.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,3.0
2468,2024-09-18 09:06:48,141.3,0.0,25.7,241.0,0.0,68.0,24.0,190.0,200.0,24.7,32.5,30.0,30.0,60.0,0.0,371.0,63.19097044877708,14.659548997879028,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:58:35.000Z,680.592,1000.0,7.157000064849854,47.0,117.0,172.0,Active,Manual,2024-09-18 09:06:48,364.20001220703125,17148.529296875,131.0,6.848999977111816,34.0,614.0,63.190649170428514,14.658777276054025,1.468999981880188,13.0,125.0,132.0,781.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,3.0
2468,2024-09-18 09:06:49,147.93,0.0,24.1,249.0,0.0,66.0,24.0,210.0,180.0,31.2,21.2,30.0,30.0,60.0,0.0,371.0,63.19101671688259,14.659632230177522,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:58:35.000Z,680.592,1000.0,7.157000064849854,47.0,117.0,172.0,Active,Manual,2024-09-18 09:06:49,364.3999938964844,17155.7109375,132.0,6.876999855041504,33.0,597.0,63.19068697281182,14.658890264108777,1.468999981880188,13.0,125.0,132.0,781.0,Forerunner 955,3474075110.0,4024.0,17.0,28.0,0.0,0.0,Connect Api,0.0,0.0,0.0,0.0,en,006-D2449-00,,,,FFFFFF,1,3.0
